field,type,description
supplier_id,string,unique id of the supplier
created_at,datetime,timestamp the supplier was created
updated_at,datetime,timestamp the supplier was updated
name,string,name of the supplier
methods,array,array of the types of methods the marketplace supports
website,string,url of the marketplace
logo,string,url of the marketplace logo
slug,string,unique
tagline,string,tagline of the marketplace
description,string,description of the supplier
year_founded,string,year the marketplace was founded
geo_city,string,city where the supplier is headquartered
geo_country,string,country where the supplier is headquartered
twitter,string,twitter handle of the supplier
